source_name,license_type,verification_date,training_permitted,contact_person,notes
solana-foundation/anchor,Apache-2.0,2026-03-26,yes,,Verified via GitHub repo LICENSE
solana-labs/solana-program-library,Apache-2.0,2026-03-26,yes,,Verified via GitHub repo LICENSE
solana-developers/program-examples,Apache-2.0,2026-03-26,yes,,Verified via GitHub repo LICENSE
anza-xyz/agave,Apache-2.0,2026-03-26,yes,,Verified via GitHub repo LICENSE
solana-developers/anchor-examples,Apache-2.0,2026-03-26,yes,,Verified via GitHub repo LICENSE
solana-foundation/developer-content,Apache-2.0,2026-03-26,yes,,Verified via GitHub repo LICENSE
solana-developers/solana-cookbook,Apache-2.0,2026-03-26,yes,,Verified via GitHub repo LICENSE
solana.stackexchange.com,CC-BY-SA-4.0-anti-LLM,2026-03-26,no,,Explicitly excludes LLM training since July 2024; RAG-only
helius.dev/blog,unknown,2026-03-26,pending,hello@helius.dev,Email sent for training permission; RAG-only until response
helius.dev/docs,unknown,2026-03-26,pending,hello@helius.dev,Email sent for training permission; RAG-only until response
developers.metaplex.com,unknown,2026-03-26,pending,,Email for training permission; RAG-only until response
lumolabs-ai/Lumo-Fart-DS-Instruct,check-hf-card,2026-03-26,pending,,Verify HuggingFace license card
lumolabs-ai/Lumo-Novel-DS-Instruct,check-hf-card,2026-03-26,pending,,Verify HuggingFace license card
lumolabs-ai/Lumo-Iris-DS-Instruct,check-hf-card,2026-03-26,pending,,Verify HuggingFace license card
lumolabs-ai/Lumo-8B-DS-Instruct,check-hf-card,2026-03-26,pending,,Verify HuggingFace license card
almanax/insecure-solana-programs,check-hf-card,2026-03-26,pending,,Verify HuggingFace license card
gaianet/learn-rust,check-hf-card,2026-03-26,pending,,Verify HuggingFace license card
ammarnasr/the-stack-rust-clean,check-hf-card,2026-03-26,pending,,Verify HuggingFace license card
synthetic/openai,synthetic-permissible,2026-03-26,yes,,OpenAI ToS permits training on batch API outputs
synthetic/anthropic,synthetic-permissible,2026-03-26,yes,,Anthropic ToS permits training on batch API outputs
hand-curated/migration-examples,Apache-2.0,2026-03-26,yes,,Original content created by project team
docs.rs/anchor-lang,Apache-2.0,2026-03-26,yes,,Generated from Apache-2.0 source code
forum.solana.com,unknown,2026-03-26,no,,Discourse forum; license unclear; RAG-only
